	width	WT_1	WT_2	WT_3	WT_4	TG_1	TG_2	TG_3	TG_4
ENSMUSG00000000278	2097	284	240	379	315	90	83	65	81
ENSMUSG00000000282	4627	665	1061	906	1334	831	957	586	583
ENSMUSG00000000290	3052	759	995	975	1148	1888	2343	1533	1521
ENSMUSG00000000295	3509	442	479	507	491	262	279	177	198
ENSMUSG00000000296	1267	0	0	0	0	0	0	0	0
ENSMUSG00000000301	2104	32	62	37	41	20	32	15	12
ENSMUSG00000000303	4574	94	290	98	98	68	51	33	116
ENSMUSG00000000305	7257	0	0	0	0	0	0	0	0
ENSMUSG00000000308	2496	0	0	0	0	0	1	1	0
ENSMUSG00000000317	3719	3	6	8	6	11	17	4	5
ENSMUSG00000000318	2899	0	0	0	0	0	0	0	0
ENSMUSG00000000320	4085	0	0	0	1	0	0	0	0
ENSMUSG00000000325	6425	304	415	415	612	269	314	210	219
ENSMUSG00000000326	2532	202	244	271	381	109	109	65	100
ENSMUSG00000000339	1880	701	684	753	767	704	772	541	607
ENSMUSG00000000340	3348	672	614	589	613	725	754	538	675
ENSMUSG00000000346	1826	4398	4802	4617	4171	5835	6339	4630	5108
ENSMUSG00000000355	1571	791	751	640	581	563	777	556	645
ENSMUSG00000000359	2156	0	0	0	0	0	0	0	0
ENSMUSG00000000365	5148	5	0	0	3	2	1	1	1
ENSMUSG00000000374	5048	1575	1805	1858	1882	2628	2989	2230	2136
ENSMUSG00000000378	3666	635	809	803	910	1853	2365	1460	1377
ENSMUSG00000000381	1008	0	0	0	0	0	0	0	0
ENSMUSG00000000384	3696	1590	2251	2208	2769	931	1125	765	688
ENSMUSG00000000385	3159	0	0	0	0	0	0	0	0
ENSMUSG00000000386	3646	4	17	9	9	115	95	94	87
ENSMUSG00000000392	5662	4	2	1	5	24	21	16	16
ENSMUSG00000000394	1494	0	0	0	0	0	0	0	0
ENSMUSG00000000399	2101	1825	2112	2232	2279	1359	1617	1238	1236
ENSMUSG00000000402	2704	0	0	0	0	0	0	0	0
ENSMUSG00000000409	2929	14060	20395	19303	20782	40261	51648	34203	33652
ENSMUSG00000000411	1280	0	0	0	0	0	0	0	0
ENSMUSG00000000416	8829	0	0	1	0	0	0	0	0
ENSMUSG00000000420	5519	2894	2769	2849	2830	3094	4180	3029	3042
ENSMUSG00000000435	2083	0	0	0	0	0	0	0	0
ENSMUSG00000000439	7005	726	828	825	827	957	1182	828	827
ENSMUSG00000000440	2953	23	40	28	31	28	26	29	140
ENSMUSG00000000441	6845	3075	3324	3482	3294	4022	4845	3349	3441
ENSMUSG00000000486	2763	4980	7472	6903	7879	9568	12797	7613	7624
ENSMUSG00000000489	2918	0	2	4	4	1	1	0	0
ENSMUSG00000000530	4265	4	12	3	5	20	14	12	16
ENSMUSG00000000531	2013	191	301	186	222	155	176	114	171
ENSMUSG00000000532	4413	320	391	326	441	939	1019	700	785
ENSMUSG00000000538	8764	306	363	359	323	998	1065	677	823
ENSMUSG00000000544	2742	0	1	0	1	0	0	0	0
ENSMUSG00000000552	2291	91	292	174	218	521	466	333	261
ENSMUSG00000000555	4379	346	461	502	406	781	944	707	654
ENSMUSG00000000560	7640	0	0	0	0	0	0	0	0
ENSMUSG00000000561	4841	2595	2659	2749	2797	1027	1250	867	1026
ENSMUSG00000000562	3729	4	2	0	1	8	2	6	4
ENSMUSG00000000563	4105	3291	3714	3351	3632	2491	3014	2201	2332
ENSMUSG00000000567	4135	1	1	0	2	0	0	0	0
ENSMUSG00000000568	7354	10317	10271	10972	9841	8344	9940	6908	8151
ENSMUSG00000000579	3777	66	49	58	39	151	153	124	135
ENSMUSG00000000581	3995	796	756	748	645	623	746	607	566
ENSMUSG00000000594	4127	412	624	587	546	734	798	544	555
ENSMUSG00000000600	21853	1201	1130	946	834	1848	2071	1590	1620
ENSMUSG00000000605	4578	970	1055	887	957	2200	2543	1820	1879
ENSMUSG00000000606	3222	0	0	0	0	0	0	0	0
ENSMUSG00000000617	5421	1	0	0	0	2	1	2	4
ENSMUSG00000000627	5290	6	13	18	7	11	8	12	10
ENSMUSG00000000628	5969	626	655	773	991	61	90	56	74
ENSMUSG00000000631	16037	1942	2853	2722	3403	3816	4790	2938	2733
ENSMUSG00000000632	5779	0	0	0	0	0	0	0	0
ENSMUSG00000000673	1222	10	5	6	7	4	10	6	18
ENSMUSG00000000682	1187	36	67	47	66	177	232	141	212
ENSMUSG00000000686	3035	73	112	79	98	141	140	103	76
ENSMUSG00000000690	1964	0	0	0	0	0	0	0	0
ENSMUSG00000000693	4603	6	3	4	2	6	13	5	7
ENSMUSG00000000701	1039	0	0	0	0	0	0	0	0
ENSMUSG00000000706	3933	2	1	7	4	2	2	4	2
ENSMUSG00000000708	4867	729	766	652	467	2081	2219	1641	1822
ENSMUSG00000000711	3166	434	467	467	409	1417	1614	1180	1289
ENSMUSG00000000724	1594	0	0	0	0	0	0	0	0
ENSMUSG00000000730	2988	1	4	0	1	0	0	0	0
ENSMUSG00000000731	3825	6	22	11	12	34	20	14	24
ENSMUSG00000000732	2756	34	45	27	26	517	388	341	324
ENSMUSG00000000738	4188	991	1167	1175	1434	1493	1855	1308	1238
ENSMUSG00000000739	1764	1	2	0	0	0	0	0	0
ENSMUSG00000000740	2352	1246	1737	1732	1833	609	766	526	518
ENSMUSG00000000743	3260	532	783	811	928	1259	1556	988	1001
ENSMUSG00000000751	5578	5798	6528	7251	6497	4901	5997	4167	4633
ENSMUSG00000000753	2359	1	4	3	5	1	1	0	1
ENSMUSG00000000759	8568	1541	1796	1688	1598	2372	2778	2006	2088
ENSMUSG00000000766	8037	0	0	0	1	0	0	0	0
ENSMUSG00000000776	2156	430	574	556	632	255	332	240	258
ENSMUSG00000000782	2625	51784	59843	58898	61822	74907	89526	65394	66685
ENSMUSG00000000787	5277	17273	17949	15397	16016	17306	17930	15095	14949
ENSMUSG00000000791	2873	125	205	211	327	1367	1918	1100	1136
ENSMUSG00000000792	2928	2	10	8	4	0	4	1	1
ENSMUSG00000000794	10451	0	0	0	0	0	0	0	0
ENSMUSG00000000804	7680	630	629	565	501	1294	1535	1221	1262
ENSMUSG00000000805	1966	0	0	0	0	0	0	0	2
ENSMUSG00000000811	2836	95	75	95	83	16	27	21	7
ENSMUSG00000000817	1937	4	2	2	1	2	3	0	1
ENSMUSG00000000823	6810	1265	1525	1442	1770	2969	3449	2262	2249
ENSMUSG00000000826	6953	2491	2888	2984	2395	4440	5162	3605	3945
ENSMUSG00000000827	4982	1054	1238	1199	1132	802	1007	761	796
ENSMUSG00000000838	8966	2697	2712	2236	1954	3329	3127	3000	3146
ENSMUSG00000000861	13175	28	51	38	55	3	6	0	4
ENSMUSG00000000869	1227	0	0	0	0	0	0	0	0
ENSMUSG00000000876	3114	423	496	468	454	1053	1312	812	944
ENSMUSG00000000881	5844	498	530	487	434	993	1101	774	903
ENSMUSG00000000884	4164	241	409	427	513	287	390	304	248
ENSMUSG00000000889	2692	1	0	0	0	0	0	0	0
ENSMUSG00000000901	2572	18	29	24	39	53	98	79	66
ENSMUSG00000000902	7930	1750	2252	2392	2609	1862	2512	1626	1619
ENSMUSG00000000903	859	1	1	0	1	0	0	0	0
ENSMUSG00000000915	7369	462	685	717	846	587	540	349	457
ENSMUSG00000000916	4317	609	787	810	988	585	659	482	436
ENSMUSG00000000934	1903	148	157	166	220	68	90	60	76
ENSMUSG00000000938	3270	0	0	0	0	0	0	0	0
ENSMUSG00000000942	1594	26	24	28	41	23	18	11	32
ENSMUSG00000000948	5216	0	0	0	0	0	0	0	0
ENSMUSG00000000957	4299	2	5	5	10	146	189	131	124
ENSMUSG00000000958	3292	19	5	18	19	23	24	31	19
ENSMUSG00000000959	3815	1093	1346	1484	1461	1350	1485	984	1084
ENSMUSG00000000976	6419	741	871	873	942	1143	1282	928	910
ENSMUSG00000000982	766	0	1	0	1	0	1	0	1
ENSMUSG00000000983	1220	0	1	0	0	0	0	0	1
ENSMUSG00000001014	907	0	0	3	3	1	2	0	6
ENSMUSG00000001016	8580	4032	4171	4426	4458	3088	3860	2769	3079
ENSMUSG00000001017	3637	2992	3393	2843	3086	4076	4606	3660	3686
ENSMUSG00000001018	2290	309	306	296	346	470	561	408	456
ENSMUSG00000001020	584	0	0	1	0	6	5	3	6
ENSMUSG00000001021	5660	1	0	0	2	2	2	1	2
ENSMUSG00000001023	432	0	0	0	0	0	2	0	0
ENSMUSG00000001025	1367	5	5	8	5	4	6	1	2
ENSMUSG00000001027	7041	1	5	6	9	3	6	3	5
ENSMUSG00000001029	1904	453	571	509	681	540	776	470	519
ENSMUSG00000001034	4394	436	654	589	751	869	1149	719	597
ENSMUSG00000001036	5228	22	13	27	18	12	15	18	15
ENSMUSG00000001039	1593	45	58	55	54	66	58	60	42
ENSMUSG00000001052	6020	2634	3049	2979	2777	2604	3026	2293	2243
ENSMUSG00000001053	2728	136	319	277	385	349	429	275	179
ENSMUSG00000001054	2161	461	604	559	659	871	1088	745	716
ENSMUSG00000001056	1146	1196	1715	1901	2313	467	550	405	376
ENSMUSG00000001062	5153	202	318	273	329	531	611	427	390
ENSMUSG00000001065	5530	239	386	343	321	775	957	631	508
ENSMUSG00000001076	874	0	0	0	0	0	0	0	0
ENSMUSG00000001082	2894	399	795	794	901	561	657	454	357
ENSMUSG00000001089	8112	374	414	422	315	330	422	350	315
ENSMUSG00000001095	2412	0	0	0	0	0	0	0	0
ENSMUSG00000001098	4039	624	891	839	839	676	915	592	515
ENSMUSG00000001100	3783	1236	1341	1443	1563	699	901	631	626
ENSMUSG00000001103	1359	0	0	0	0	0	0	1	0
ENSMUSG00000001105	1525	355	480	438	488	521	723	484	454
ENSMUSG00000001119	4380	0	1	1	0	0	0	1	0
ENSMUSG00000001120	2933	134	203	199	228	360	416	307	284
ENSMUSG00000001123	2137	6726	6812	6836	6713	9924	11740	8407	8087
ENSMUSG00000001127	6541	1101	1291	1153	1373	1735	2187	1418	1568
ENSMUSG00000001128	1736	74	97	81	80	120	135	102	93
ENSMUSG00000001131	888	5	6	1	0	4	4	0	1
ENSMUSG00000001134	1639	98	102	149	150	104	155	86	112
ENSMUSG00000001138	6420	784	1095	1041	871	966	1063	677	709
ENSMUSG00000001143	7359	1885	2137	1871	1992	3266	3948	2731	2575
ENSMUSG00000001150	6382	1661	1925	1825	2369	2642	3332	2263	2304
ENSMUSG00000001151	9530	2024	2582	2643	3082	3521	3934	2819	2619
ENSMUSG00000001155	3192	0	0	0	0	0	0	0	0
ENSMUSG00000001156	7072	431	694	648	564	525	638	414	440
ENSMUSG00000001157	6493	859	893	731	745	1190	1403	1138	1148
ENSMUSG00000001158	1837	592	725	837	828	729	918	617	719
ENSMUSG00000001166	2405	39	47	49	56	332	360	261	269
ENSMUSG00000001168	1703	0	0	0	0	1	1	0	0
ENSMUSG00000001173	9486	304	358	285	322	511	582	398	565
ENSMUSG00000001175	4698	7257	7666	7648	7352	6593	7585	6167	5717
ENSMUSG00000001211	7577	1190	1675	1557	1840	2183	2681	1736	1821
ENSMUSG00000001225	6369	0	0	0	0	0	0	0	0
ENSMUSG00000001227	3977	21	67	66	60	13	11	6	3
ENSMUSG00000001228	4259	11770	16326	16364	15922	11571	13143	9281	9687
ENSMUSG00000001229	3509	1226	2059	2022	2298	1808	2181	1502	1317
ENSMUSG00000001240	3301	823	1097	1124	1296	1012	1335	937	919
ENSMUSG00000001247	2172	22	30	54	46	36	36	23	52
ENSMUSG00000001248	5239	544	952	735	739	1351	1658	1031	990
ENSMUSG00000001249	4101	0	0	0	0	0	0	0	0
ENSMUSG00000001260	7869	0	0	0	0	0	0	0	0
ENSMUSG00000001270	1478	14	21	29	49	10	23	9	14
ENSMUSG00000001280	8325	3939	4034	3744	3000	6027	6394	5155	5725
ENSMUSG00000001281	2743	58	76	84	108	173	218	112	166
ENSMUSG00000001285	2823	802	1103	1110	1158	927	1122	752	774
ENSMUSG00000001288	4109	0	3	3	3	1	0	0	1
ENSMUSG00000001289	1394	1415	1691	1714	1670	1814	2274	1475	1535
ENSMUSG00000001300	6855	24	75	59	43	20	26	17	20
ENSMUSG00000001305	3239	1178	1185	1290	1384	299	394	272	314
ENSMUSG00000001313	1990	27	53	34	40	39	49	43	19
ENSMUSG00000001323	4560	159	162	169	160	446	492	390	386
ENSMUSG00000001333	2862	0	0	0	0	0	0	0	0
ENSMUSG00000001334	2763	0	0	0	0	0	0	0	0
ENSMUSG00000001348	1612	291	457	483	503	1378	1714	1040	1079
ENSMUSG00000001349	2368	0	1	0	1	0	1	0	0
ENSMUSG00000001366	3103	489	533	481	539	850	1027	727	777
ENSMUSG00000001376	10856	616	577	617	604	499	600	470	493
ENSMUSG00000001380	1987	2190	2375	2552	2659	1527	1791	1339	1445
ENSMUSG00000001383	2257	1880	1880	2034	1968	1683	2126	1451	1636
ENSMUSG00000001403	2600	1598	1759	2106	2183	2274	2614	2236	2470
ENSMUSG00000001415	6956	2726	3693	3899	3949	3677	4389	2831	2832
ENSMUSG00000001416	6370	8536	10142	11817	10989	3602	4498	3612	3490
ENSMUSG00000001418	6291	472	676	601	464	1403	1639	1122	1103
ENSMUSG00000001419	5985	3279	5167	4640	5025	4464	5505	3419	3340
ENSMUSG00000001420	2912	32	28	39	65	14	17	13	23
ENSMUSG00000001424	9757	2886	4207	4460	4803	2394	2749	1937	1884
ENSMUSG00000001435	7021	0	0	0	0	1	1	0	0
ENSMUSG00000001436	4644	621	867	863	1151	188	219	149	163
ENSMUSG00000001440	6590	17784	18807	20738	19474	11329	13718	9911	10725
ENSMUSG00000001441	7206	1935	2191	2115	1648	1594	2019	1595	1389
ENSMUSG00000001444	2488	34	35	24	30	84	129	81	74
ENSMUSG00000001445	1708	814	884	931	1148	811	1127	711	805
ENSMUSG00000001467	4415	1769	1359	2193	1443	744	798	539	637
ENSMUSG00000001472	3765	3937	5102	4817	4769	5985	6479	4413	4725
ENSMUSG00000001473	1757	2	2	5	3	1	6	1	1
ENSMUSG00000001482	3988	733	928	947	1040	1112	1342	907	1092
ENSMUSG00000001493	2228	0	0	0	0	0	0	0	0
ENSMUSG00000001494	2066	0	0	0	0	0	0	0	0
ENSMUSG00000001496	2842	0	0	0	0	0	0	0	0
ENSMUSG00000001497	5056	0	0	0	0	0	0	0	0
ENSMUSG00000001504	3282	2	0	1	0	0	0	0	0
ENSMUSG00000001506	6563	3	4	8	10	14	24	14	8
ENSMUSG00000001507	5710	4	8	0	5	8	6	6	7
ENSMUSG00000001508	1735	1	0	0	0	2	0	0	0
ENSMUSG00000001510	2607	0	1	0	0	0	0	0	0
ENSMUSG00000001517	5754	2685	3288	3490	3646	5795	6926	5326	5168
ENSMUSG00000001518	7096	421	550	531	589	451	659	442	430
ENSMUSG00000001520	3757	0	0	0	0	0	0	0	0
ENSMUSG00000001521	9342	107	151	129	151	147	178	120	91
ENSMUSG00000001524	3313	497	631	671	764	611	1010	572	570
ENSMUSG00000001525	3327	27597	39404	42605	48666	33161	42011	30355	28808
ENSMUSG00000001542	3647	9	26	14	18	21	28	20	26
ENSMUSG00000001552	6436	19	47	29	20	89	120	64	102
ENSMUSG00000001555	2935	0	0	0	1	3	0	1	0
ENSMUSG00000001558	2161	13	14	10	15	21	29	28	18
ENSMUSG00000001566	2250	0	0	0	0	0	0	0	0
ENSMUSG00000001569	9232	1161	1148	1307	1375	800	1007	700	762
ENSMUSG00000001576	6456	1328	1871	1804	1803	1167	1627	1044	1141
ENSMUSG00000001583	3329	0	0	0	0	0	0	0	0
ENSMUSG00000001588	4878	3121	4731	4459	5266	9707	12186	8009	7452
ENSMUSG00000001604	1400	0	0	0	0	0	0	0	0
ENSMUSG00000001622	4152	0	0	0	0	0	0	0	0
ENSMUSG00000001627	5858	1127	1283	1109	1137	662	874	667	626
ENSMUSG00000001630	4880	184	172	235	154	207	249	176	177
ENSMUSG00000001632	6779	1769	2239	2113	2339	2967	3671	2493	2438
ENSMUSG00000001642	8384	1034	1260	1255	1305	1072	1283	905	781
ENSMUSG00000001655	2461	1	0	0	0	0	0	0	0
ENSMUSG00000001656	2021	0	0	0	0	0	0	0	0
ENSMUSG00000001657	2832	0	0	0	0	0	0	0	0
ENSMUSG00000001661	2408	0	0	0	0	3	0	0	0
ENSMUSG00000001663	1528	0	0	0	0	1	1	2	1
ENSMUSG00000001665	2627	15	17	9	19	26	15	18	28
ENSMUSG00000001666	773	237	438	431	421	320	335	214	210
ENSMUSG00000001670	2405	0	0	0	0	1	2	2	0
ENSMUSG00000001672	3284	0	0	0	0	0	1	0	0
ENSMUSG00000001674	2483	1921	2120	2200	2339	819	911	695	813
ENSMUSG00000001687	8098	393	531	424	411	892	892	652	657
ENSMUSG00000001700	2605	3	38	24	10	17	30	19	29
ENSMUSG00000001707	1032	808	803	796	887	382	447	346	358
ENSMUSG00000001729	4098	3497	5475	5501	6224	4905	5925	3913	3468
ENSMUSG00000001739	2124	5	12	11	15	1	2	0	1
ENSMUSG00000001741	7865	1423	1786	1348	1697	3931	5146	3364	3719
ENSMUSG00000001750	4470	853	1522	1212	1162	2102	2289	1592	1459
ENSMUSG00000001751	2658	66	106	103	198	263	343	219	195
ENSMUSG00000001755	2867	307	382	448	497	409	529	358	364
ENSMUSG00000001761	5621	3529	4809	4751	5608	4148	4632	3422	3308
ENSMUSG00000001763	5195	11	15	12	5	2	2	3	4
ENSMUSG00000001767	3844	1378	1308	1464	1352	1191	1532	1088	1176
ENSMUSG00000001768	5399	3	3	7	3	6	4	2	6
ENSMUSG00000001773	3210	0	0	0	0	0	0	0	0
ENSMUSG00000001774	2205	3123	3876	3011	2301	1799	1946	1614	1711
ENSMUSG00000001783	2615	3345	3660	3883	3784	2351	2758	1883	2090
ENSMUSG00000001785	2730	1704	1797	1880	1972	924	1122	799	918
ENSMUSG00000001786	6180	707	703	794	664	878	1053	755	774
ENSMUSG00000001794	2477	1685	2080	1795	1930	2671	3165	2097	2301
ENSMUSG00000001802	4700	0	0	0	0	0	0	0	0
ENSMUSG00000001804	3478	0	0	0	0	0	0	0	0
ENSMUSG00000001815	4191	0	0	0	0	0	0	0	0
ENSMUSG00000001819	2483	0	0	0	0	0	0	0	0
ENSMUSG00000001823	2534	0	0	0	0	0	1	0	0
ENSMUSG00000001827	2297	0	0	0	0	0	0	0	0
ENSMUSG00000001829	7855	519	674	715	832	346	437	308	356
ENSMUSG00000001833	2538	3980	3797	3347	3099	4351	4971	4375	4718
ENSMUSG00000001844	2864	346	551	518	584	585	771	503	484
ENSMUSG00000001847	4496	4919	5450	5050	4648	5706	6373	4836	5046
ENSMUSG00000001855	9659	2518	2939	3260	3379	2558	2944	2103	2087
ENSMUSG00000001864	4032	6	14	18	7	3	2	1	4
ENSMUSG00000001865	1517	20	75	29	60	72	37	31	42
ENSMUSG00000001870	10480	0	0	0	0	1	0	0	0
ENSMUSG00000001891	3069	562	549	435	475	736	872	773	793
ENSMUSG00000001901	3549	3	2	1	2	2	2	0	0
ENSMUSG00000001909	6306	1653	2445	2549	2675	1119	1303	883	845
ENSMUSG00000001910	4300	2751	4110	4067	4417	3160	3865	2665	2351
ENSMUSG00000001911	7351	266	431	472	573	204	314	209	157
ENSMUSG00000001918	4173	3117	3733	3597	4119	2987	3659	2375	2512
ENSMUSG00000001924	4819	10393	12600	13070	13075	9977	12042	8639	8567
ENSMUSG00000001930	16064	2	0	1	0	0	1	0	0
ENSMUSG00000001942	3433	248	258	224	254	411	517	324	438
ENSMUSG00000001943	1170	1	3	1	0	0	0	0	0
ENSMUSG00000001946	2867	3	9	2	7	5	5	2	2
ENSMUSG00000001948	689	10	7	11	12	7	9	5	2
ENSMUSG00000001962	2288	765	798	814	906	999	1231	843	868
ENSMUSG00000001964	2517	1373	1597	1658	1560	1346	1633	1101	1176
ENSMUSG00000001983	1383	217	260	282	302	228	282	183	214
ENSMUSG00000001985	8973	0	0	0	0	0	0	0	0
ENSMUSG00000001986	9859	287	392	241	172	1166	1076	841	861
ENSMUSG00000001988	2091	0	0	0	0	0	0	0	0
ENSMUSG00000001995	6365	126	162	118	143	330	484	347	266
ENSMUSG00000001998	9810	604	619	541	569	842	1110	780	981
ENSMUSG00000001999	2446	487	480	603	508	581	712	511	613
ENSMUSG00000002006	3970	429	552	566	676	905	1217	863	610
ENSMUSG00000002007	2784	0	0	0	0	0	0	0	0
ENSMUSG00000002010	2701	2268	2715	2633	2579	1906	2205	1628	1609
ENSMUSG00000002012	1971	59	87	73	75	29	29	24	17
ENSMUSG00000002014	3096	770	1021	987	1025	766	905	616	666
ENSMUSG00000002015	1219	1654	1918	1857	1698	1622	1813	1396	1494
ENSMUSG00000002017	3479	1275	1133	1208	1152	760	956	706	696
ENSMUSG00000002020	8184	0	0	0	0	0	1	0	0
ENSMUSG00000002028	16670	6513	7102	7772	5824	11123	11215	8191	9442
ENSMUSG00000002031	5658	644	446	818	675	697	915	588	759
ENSMUSG00000002032	2902	7	11	7	13	0	3	0	0
ENSMUSG00000002033	1070	7665	7197	7925	8239	8370	10482	7534	8618
ENSMUSG00000002043	1589	89	202	187	257	204	203	128	111
ENSMUSG00000002052	7095	4028	4541	4946	4889	4840	5724	3851	4203
ENSMUSG00000002055	5624	2542	2398	2711	2799	3763	4402	3289	3711
ENSMUSG00000002057	3214	0	5	0	0	0	2	0	0
ENSMUSG00000002058	2448	117	144	143	153	128	116	98	86
ENSMUSG00000002059	2385	13	7	12	10	0	3	2	0
ENSMUSG00000002064	1515	358	471	440	403	655	777	499	591
ENSMUSG00000002068	2662	1106	908	970	850	783	1020	791	789
ENSMUSG00000002076	2973	2	7	5	3	5	10	7	2
ENSMUSG00000002083	2008	48	119	75	106	48	77	54	7
ENSMUSG00000002100	4163	1	0	0	0	0	0	0	0
ENSMUSG00000002102	2607	3513	4796	5102	4988	3873	4755	3270	3072
ENSMUSG00000002103	5186	289	240	218	299	866	1149	709	876
ENSMUSG00000002104	1802	7	14	26	29	1	11	6	5
ENSMUSG00000002105	4869	53	73	91	101	243	277	152	169
ENSMUSG00000002107	25884	2824	3064	2692	2504	5264	6160	4713	4875
ENSMUSG00000002108	2515	2	14	6	13	14	18	18	14
ENSMUSG00000002109	2736	1028	1196	1087	990	1697	1905	1322	1672
ENSMUSG00000002111	2695	1	3	1	1	2	3	3	0
ENSMUSG00000002129	6147	5110	6203	6607	6322	4754	5479	3759	4131
ENSMUSG00000002147	4402	2385	2861	2790	2861	3779	4418	3054	3130
ENSMUSG00000002190	4025	0	1	0	1	0	0	0	0
ENSMUSG00000002204	2660	1	2	3	1	0	0	1	3
ENSMUSG00000002205	6744	893	1085	983	1059	1366	1794	1185	1157
ENSMUSG00000002210	3702	472	708	657	960	999	1301	802	693
ENSMUSG00000002221	10271	2582	2968	3003	3075	2516	3179	2214	2272
ENSMUSG00000002222	6783	6781	6343	5192	4974	10539	16070	11013	13802
ENSMUSG00000002227	5607	430	549	524	620	1130	1109	746	793
ENSMUSG00000002228	1814	0	1	0	2	4	1	0	0
ENSMUSG00000002233	1618	0	0	2	1	1	4	0	3
ENSMUSG00000002240	1337	0	0	0	0	0	0	0	0
ENSMUSG00000002249	4398	14	34	37	36	57	60	26	30
ENSMUSG00000002250	4631	181	376	302	386	593	667	448	391
ENSMUSG00000002257	2524	1160	2014	1902	2857	3219	4145	2492	2113
ENSMUSG00000002265	13324	0	0	0	2	11	7	0	0
ENSMUSG00000002266	7819	0	0	0	0	0	0	0	0
ENSMUSG00000002274	1434	350	646	633	914	561	707	419	345
ENSMUSG00000002279	13471	174	259	238	311	364	420	288	237
ENSMUSG00000002280	3826	300	358	381	400	472	601	452	369
ENSMUSG00000002289	3286	475	545	604	647	120	140	94	126
ENSMUSG00000002297	8728	1993	2106	2089	1852	2033	2299	1964	2141
ENSMUSG00000002307	3058	1053	1522	1564	1575	1744	1929	1327	1223
ENSMUSG00000002308	2592	171	208	192	231	71	57	58	49
ENSMUSG00000002319	5362	1490	2279	2172	2747	798	1029	727	751
ENSMUSG00000002320	3880	1051	1313	1237	1125	1525	1818	1251	1340
ENSMUSG00000002324	2748	50	77	45	43	142	169	138	88
ENSMUSG00000002325	5386	502	749	690	532	2316	2652	1784	1599
ENSMUSG00000002326	1543	534	619	687	753	641	819	558	581
ENSMUSG00000002329	1733	583	705	656	625	1237	1755	1118	1172
ENSMUSG00000002332	2760	428	491	434	396	784	933	597	662
ENSMUSG00000002341	7195	0	0	0	0	0	0	0	0
ENSMUSG00000002342	3673	474	560	532	656	697	890	551	654
ENSMUSG00000002343	3262	153	262	313	356	162	169	133	89
ENSMUSG00000002345	2743	264	417	351	428	532	666	455	451
